,Creditability,Account_Balance,Duration_of_Credit_monthly,Payment_Status_of_Previous_Credit,Purpose,Credit_Amount,Value_Savings_Stocks,Length_of_current_employment,Instalment_per_cent,Sex_Marital_Status,Guarantors,Duration_in_Current_address,Most_valuable_available_asset,Age_years,Concurrent_Credits,Type_of_apartment,No_of_Credits_at_this_Bank,Occupation,No_of_dependents,Telephone,Foreign_Worker
281,1,Below 200 DM,12,Paid Up,Used Car,2251,None,"[1, 4)",Above 35%,"Male, Single",None,"[1, 4)",Life Insurance,46,None,Rented,1,Unskilled Permanent Resident,3 or More,No,No
282,1,200 DM or Above,12,Paid Up,New Car,4675,Above 1000,<1 Year,Above 35%,"Male, Single",None,Above 7,Life Insurance,20,None,Free,1,Skilled,3 or More,No,No
283,1,None,21,No Problem with Current Credits,Other,2353,None,"[1, 4)",Above 35%,"Male, Divorced",None,Above 7,Car,47,None,Rented,2 or 3,Skilled,3 or More,No,No
284,1,No Account,21,Paid Up,Furniture,3357,"[500, 1000)",<1 Year,Below 20%,"Male, Single",None,"[1, 4)",Life Insurance,29,Other Banks,Rented,1,Skilled,3 or More,No,No
285,1,200 DM or Above,6,Paid Up,Other,672,None,Unemployed,Above 35%,"Male, Single",None,Above 7,None,54,None,Rented,1,"Unemployed, unskilled",3 or More,Yes,No
286,1,No Account,6,Previous Credits Paid,Furniture,338,"[100, 500)",Above 7,Below 20%,"Male, Married/Widowed",None,Above 7,Life Insurance,52,None,Rented,2 or 3,Skilled,3 or More,No,No
287,1,200 DM or Above,9,Paid Up,Furniture,2697,None,"[1, 4)",Above 35%,"Male, Married/Widowed",None,"[1, 4)",None,32,None,Rented,1,Skilled,Less than 3,No,No
288,1,200 DM or Above,9,Paid Up,Other,2507,"[100, 500)",Above 7,"(25%, 35%)","Male, Married/Widowed",None,Above 7,Real Estate,51,None,Owned,1,Unskilled Permanent Resident,3 or More,No,No
289,1,200 DM or Above,15,No Problem with Current Credits,Furniture,1478,None,"[1, 4)",Below 20%,Female,None,"[4, 7)",None,33,Other Banks,Rented,2 or 3,Skilled,3 or More,No,No
290,1,200 DM or Above,12,Previous Credits Paid,Repair,3565,Above 1000,<1 Year,"(25%, 35%)","Male, Married/Widowed",None,<1 Year,Car,37,None,Rented,2 or 3,Unskilled Permanent Resident,Less than 3,No,No
291,1,200 DM or Above,15,Paid Up,Used Car,2221,"[100, 500)","[1, 4)","(25%, 35%)","Male, Single",None,Above 7,Life Insurance,20,None,Free,1,Skilled,3 or More,No,No
292,1,200 DM or Above,6,Previous Credits Paid,Furniture,1898,Above 1000,"[1, 4)",Above 35%,"Male, Married/Widowed",None,"[1, 4)",None,34,None,Rented,2 or 3,Unskilled Permanent Resident,Less than 3,No,No
293,1,None,6,No Problem with Current Credits,Retraining,1449,Below 100 DM,Above 7,Above 35%,"Male, Divorced",None,"[1, 4)",Life Insurance,31,Other Banks,Rented,2 or 3,Skilled,Less than 3,No,No
294,1,200 DM or Above,15,No Problem with Current Credits,Used Car,960,"[500, 1000)","[4, 7)","[20%, 25%)","Male, Single",None,"[1, 4)",Car,30,None,Rented,2 or 3,Skilled,3 or More,No,No
295,1,200 DM or Above,36,Paid Up,New Car,8133,None,"[1, 4)",Above 35%,"Male, Single",None,"[1, 4)",Car,30,Other Banks,Rented,1,Skilled,3 or More,No,No
296,1,200 DM or Above,9,Paid Up,Used Car,2301,Below 100 DM,<1 Year,"(25%, 35%)","Male, Single",None,Above 7,Car,22,None,Free,1,Skilled,3 or More,No,No
297,1,200 DM or Above,6,No Problem with Current Credits,Retraining,1743,Below 100 DM,"[1, 4)",Above 35%,"Male, Married/Widowed",None,"[1, 4)",None,34,None,Rented,2 or 3,Unskilled Permanent Resident,3 or More,No,No
298,1,None,12,Paid Up,Used Car,983,"[500, 1000)",<1 Year,Above 35%,"Male, Single",None,Above 7,None,19,None,Free,1,Unskilled Permanent Resident,3 or More,No,No
299,1,200 DM or Above,18,No Problem with Current Credits,Furniture,2320,None,Unemployed,"(25%, 35%)",Female,None,"[4, 7)",None,34,None,Rented,2 or 3,Skilled,3 or More,No,No
300,1,No Account,12,Other Credits,Vacation,339,None,Above 7,Below 20%,Female,None,<1 Year,Life Insurance,45,Other Banks,Rented,1,Unskilled Permanent Resident,3 or More,No,No
301,1,Below 200 DM,24,Paid Up,Furniture,5152,None,"[4, 7)",Below 20%,"Male, Married/Widowed",None,"[1, 4)",Life Insurance,25,Other Banks,Rented,1,Skilled,3 or More,No,No
302,1,Below 200 DM,24,Paid Up,Used Car,3749,None,<1 Year,"(25%, 35%)","Male, Single",None,Above 7,Life Insurance,26,None,Rented,1,Skilled,3 or More,No,No
303,1,200 DM or Above,9,Previous Credits Paid,Furniture,3074,Above 1000,"[1, 4)",Above 35%,"Male, Married/Widowed",None,"[1, 4)",None,33,None,Rented,2 or 3,Skilled,Less than 3,No,No
304,0,Below 200 DM,9,Paid Up,Furniture,745,None,"[1, 4)","[20%, 25%)","Male, Single",None,"[1, 4)",None,28,None,Rented,1,Unskilled Permanent Resident,3 or More,No,No
305,1,200 DM or Above,24,Paid Up,Other,1469,Below 100 DM,Above 7,Below 20%,Female,None,Above 7,None,41,None,Free,1,Unskilled Permanent Resident,3 or More,No,No
306,1,No Account,6,Paid Up,Used Car,1374,None,"[1, 4)",Above 35%,"Male, Married/Widowed",None,"[1, 4)",None,36,Other Banks,Rented,1,Unskilled Permanent Resident,3 or More,Yes,No
307,1,200 DM or Above,6,Other Credits,Other,783,Above 1000,"[1, 4)",Above 35%,"Male, Married/Widowed",Guarantor,"[1, 4)",None,26,Dept. Store,Rented,1,Unskilled Permanent Resident,Less than 3,No,No
308,1,No Account,21,Paid Up,Furniture,2606,None,<1 Year,Below 20%,"Male, Single",None,Above 7,Car,28,None,Free,1,Executive,3 or More,Yes,No
309,1,200 DM or Above,54,Delayed,New Car,9436,Above 1000,"[1, 4)","(25%, 35%)","Male, Married/Widowed",None,"[1, 4)",Car,39,None,Rented,1,Unskilled Permanent Resident,Less than 3,No,No
310,1,200 DM or Above,12,Previous Credits Paid,Furniture,930,Above 1000,Above 7,Below 20%,"Male, Married/Widowed",None,Above 7,None,65,None,Rented,Above 6,Skilled,3 or More,No,No
311,1,200 DM or Above,48,Previous Credits Paid,New Car,2751,Above 1000,Above 7,Below 20%,"Male, Married/Widowed",None,"[4, 7)",Life Insurance,38,None,Rented,2 or 3,Skilled,Less than 3,Yes,No
312,1,200 DM or Above,6,Previous Credits Paid,Other,250,"[500, 1000)","[1, 4)","(25%, 35%)","Male, Single",None,"[1, 4)",None,41,Other Banks,Rented,2 or 3,Unskilled Permanent Resident,3 or More,No,No
313,1,None,24,Paid Up,Other,1201,None,<1 Year,Below 20%,"Male, Married/Widowed",None,<1 Year,Car,26,None,Rented,1,Skilled,3 or More,No,No
314,1,No Account,6,Paid Up,Other,662,None,<1 Year,"[20%, 25%)","Male, Married/Widowed",None,Above 7,None,41,None,Rented,1,Unskilled Permanent Resident,Less than 3,Yes,No
315,1,200 DM or Above,15,Paid Up,New Car,1300,Above 1000,Above 7,Below 20%,"Male, Married/Widowed",None,Above 7,Real Estate,45,Other Banks,Owned,1,Skilled,Less than 3,No,No
316,1,200 DM or Above,24,Other Credits,Retraining,1559,None,"[4, 7)",Below 20%,"Male, Married/Widowed",None,Above 7,Life Insurance,40,Other Banks,Rented,1,Skilled,3 or More,Yes,No
317,1,Below 200 DM,12,Paid Up,Furniture,3016,None,"[1, 4)","[20%, 25%)",Female,None,<1 Year,Life Insurance,24,None,Rented,1,Skilled,3 or More,No,No
318,1,200 DM or Above,15,Previous Credits Paid,Furniture,1360,None,"[1, 4)",Below 20%,"Male, Married/Widowed",None,"[1, 4)",Car,31,None,Rented,2 or 3,Skilled,3 or More,No,No
319,1,200 DM or Above,6,Delayed,Other,1204,Below 100 DM,"[1, 4)",Below 20%,"Male, Married/Widowed",None,<1 Year,Real Estate,35,Other Banks,Free,1,Skilled,3 or More,No,Yes
320,1,200 DM or Above,10,Paid Up,Other,1597,"[100, 500)","[1, 4)","[20%, 25%)","Male, Married/Widowed",None,"[1, 4)",Real Estate,40,None,Free,1,Unskilled Permanent Resident,Less than 3,No,Yes
321,1,200 DM or Above,12,Paid Up,Furniture,2073,Below 100 DM,"[1, 4)",Below 20%,"Male, Single",Co-applicant,"[1, 4)",None,28,None,Rented,1,Skilled,3 or More,No,No
322,1,200 DM or Above,11,Paid Up,Retraining,2142,"[500, 1000)",Above 7,Above 35%,"Male, Divorced",None,"[1, 4)",None,28,None,Rented,1,Skilled,3 or More,Yes,No
323,1,No Account,10,Previous Credits Paid,Used Car,2132,Above 1000,<1 Year,"(25%, 35%)","Male, Single",Co-applicant,"[4, 7)",None,27,None,Free,2 or 3,Skilled,3 or More,No,Yes
324,1,200 DM or Above,10,Paid Up,Other,1546,None,"[1, 4)","[20%, 25%)","Male, Married/Widowed",None,"[1, 4)",None,31,None,Rented,1,Unskilled Permanent Resident,Less than 3,No,Yes
325,1,200 DM or Above,24,Previous Credits Paid,Other,1287,"[500, 1000)",Above 7,Below 20%,"Male, Single",None,Above 7,None,37,None,Rented,2 or 3,Skilled,3 or More,Yes,No
326,1,200 DM or Above,10,Paid Up,Other,1418,Below 100 DM,"[1, 4)","[20%, 25%)","Male, Married/Widowed",None,"[1, 4)",None,35,None,Free,1,Unskilled Permanent Resident,3 or More,No,Yes
327,1,Below 200 DM,6,Previous Credits Paid,Other,1343,None,Above 7,Above 35%,"Male, Married/Widowed",None,Above 7,None,46,None,Rented,2 or 3,Skilled,Less than 3,No,Yes
328,1,200 DM or Above,18,Paid Up,Other,2662,Above 1000,"[4, 7)",Below 20%,"Male, Married/Widowed",None,"[4, 7)",Car,32,None,Rented,1,Skilled,3 or More,No,Yes
329,1,200 DM or Above,18,Previous Credits Paid,Furniture,6070,None,Above 7,"[20%, 25%)","Male, Married/Widowed",None,Above 7,Life Insurance,33,None,Rented,2 or 3,Skilled,3 or More,Yes,No
330,1,200 DM or Above,24,Previous Credits Paid,Repair,1927,Above 1000,"[1, 4)","[20%, 25%)","Male, Single",None,"[1, 4)",Life Insurance,33,None,Rented,2 or 3,Skilled,3 or More,Yes,No
331,1,200 DM or Above,18,Previous Credits Paid,Furniture,2404,None,"[1, 4)","(25%, 35%)","Male, Single",None,"[1, 4)",Life Insurance,26,None,Rented,2 or 3,Skilled,3 or More,No,No
332,1,200 DM or Above,6,Previous Credits Paid,Furniture,1554,None,"[4, 7)",Above 35%,"Male, Single",None,"[1, 4)",Life Insurance,24,None,Free,2 or 3,Skilled,3 or More,Yes,No
333,1,200 DM or Above,22,Paid Up,Other,1283,Above 1000,"[4, 7)",Below 20%,"Male, Single",None,Above 7,Car,25,None,Free,1,Skilled,3 or More,No,No
334,1,200 DM or Above,24,No Problem with Current Credits,Other,717,Above 1000,Above 7,Below 20%,Female,None,Above 7,Life Insurance,54,None,Rented,2 or 3,Skilled,3 or More,Yes,No
335,1,No Account,24,Paid Up,Used Car,1747,None,<1 Year,Below 20%,"Male, Married/Widowed",Co-applicant,<1 Year,Car,24,None,Rented,1,Unskilled Permanent Resident,3 or More,No,Yes
336,1,No Account,9,Previous Credits Paid,Appliances,1288,Below 100 DM,Above 7,"[20%, 25%)","Male, Married/Widowed",Guarantor,Above 7,None,48,None,Rented,2 or 3,Skilled,Less than 3,No,Yes
337,1,No Account,10,Previous Credits Paid,Other,1038,None,"[4, 7)",Below 20%,"Male, Married/Widowed",Co-applicant,"[4, 7)",Car,49,None,Rented,2 or 3,Skilled,3 or More,Yes,No
338,1,200 DM or Above,10,Paid Up,New Car,2848,Below 100 DM,"[1, 4)",Above 35%,"Male, Married/Widowed",Co-applicant,"[1, 4)",None,32,None,Rented,1,Skilled,Less than 3,No,No
339,1,200 DM or Above,12,Paid Up,New Car,1413,"[500, 1000)","[4, 7)","[20%, 25%)","Male, Married/Widowed",None,"[1, 4)",Car,55,None,Rented,1,Skilled,3 or More,No,Yes
340,1,200 DM or Above,30,Previous Credits Paid,Furniture,3077,Above 1000,Above 7,"[20%, 25%)","Male, Married/Widowed",None,"[1, 4)",Life Insurance,40,None,Rented,2 or 3,Skilled,Less than 3,Yes,No
341,1,No Account,24,Other Credits,New Car,3632,None,"[1, 4)",Above 35%,"Male, Single",Guarantor,Above 7,Life Insurance,22,Other Banks,Free,1,Skilled,3 or More,No,Yes
342,1,200 DM or Above,18,Previous Credits Paid,New Car,3229,Above 1000,Unemployed,"(25%, 35%)","Male, Married/Widowed",None,Above 7,Real Estate,38,None,Rented,1,Executive,3 or More,Yes,No
343,1,200 DM or Above,9,Paid Up,Other,3577,Below 100 DM,"[1, 4)",Above 35%,"Male, Married/Widowed",Guarantor,"[1, 4)",None,26,None,Free,1,Skilled,Less than 3,No,Yes
344,1,200 DM or Above,12,Previous Credits Paid,Other,682,Below 100 DM,"[4, 7)",Below 20%,"Male, Single",None,"[4, 7)",Life Insurance,51,None,Rented,2 or 3,Skilled,3 or More,Yes,No
345,1,200 DM or Above,10,Paid Up,Furniture,1924,None,"[1, 4)",Above 35%,"Male, Married/Widowed",None,Above 7,Car,38,None,Rented,1,Skilled,3 or More,Yes,Yes
346,1,200 DM or Above,10,Paid Up,Repair,727,"[100, 500)",Above 7,Below 20%,"Male, Married/Widowed",None,Above 7,Real Estate,46,None,Owned,1,Skilled,3 or More,Yes,No
347,1,Below 200 DM,10,Previous Credits Paid,Other,781,None,Above 7,Below 20%,"Male, Married/Widowed",None,Above 7,Real Estate,63,None,Owned,2 or 3,Skilled,3 or More,Yes,No
348,1,No Account,12,Previous Credits Paid,Other,2121,None,"[1, 4)",Below 20%,"Male, Married/Widowed",None,"[1, 4)",Car,30,None,Rented,2 or 3,Skilled,3 or More,No,No
349,1,200 DM or Above,12,Previous Credits Paid,Repair,701,None,"[1, 4)",Below 20%,"Male, Married/Widowed",None,"[1, 4)",Life Insurance,32,None,Rented,2 or 3,Skilled,3 or More,No,No
350,1,200 DM or Above,10,Previous Credits Paid,Used Car,2069,Above 1000,"[1, 4)","(25%, 35%)",Female,None,<1 Year,Life Insurance,26,None,Rented,2 or 3,Skilled,3 or More,No,Yes
351,1,200 DM or Above,24,Paid Up,Other,1525,"[500, 1000)","[4, 7)",Below 20%,"Male, Single",None,"[4, 7)",Life Insurance,34,None,Rented,1,Skilled,Less than 3,Yes,No
352,1,200 DM or Above,48,Previous Credits Paid,Retraining,7629,Above 1000,Above 7,Below 20%,"Male, Divorced",None,"[1, 4)",Life Insurance,46,Other Banks,Rented,2 or 3,Executive,Less than 3,No,No
353,0,No Account,12,Previous Credits Paid,Other,3499,None,"[1, 4)","[20%, 25%)","Male, Single",Co-applicant,"[1, 4)",None,29,None,Rented,2 or 3,Skilled,3 or More,No,No
354,1,200 DM or Above,6,Paid Up,Furniture,1346,Below 100 DM,Above 7,"(25%, 35%)","Male, Married/Widowed",None,Above 7,Real Estate,42,Other Banks,Owned,1,Skilled,Less than 3,Yes,No
355,1,200 DM or Above,36,Previous Credits Paid,New Car,10477,Above 1000,Above 7,"(25%, 35%)","Male, Married/Widowed",None,Above 7,Real Estate,42,None,Owned,2 or 3,Skilled,3 or More,No,No
356,1,No Account,24,Paid Up,New Car,2924,None,"[1, 4)","[20%, 25%)","Male, Married/Widowed",Guarantor,Above 7,Real Estate,63,Other Banks,Rented,1,Skilled,Less than 3,Yes,No
357,1,200 DM or Above,10,Previous Credits Paid,Other,1231,None,Above 7,"[20%, 25%)","Male, Married/Widowed",None,Above 7,None,32,None,Rented,2 or 3,Unskilled Permanent Resident,Less than 3,No,Yes
358,1,Below 200 DM,18,Paid Up,Other,1961,None,Above 7,"[20%, 25%)","Male, Single",None,"[1, 4)",Life Insurance,23,None,Rented,1,Executive,3 or More,No,No
359,1,200 DM or Above,15,Previous Credits Paid,Other,5045,Above 1000,Above 7,Above 35%,"Male, Single",None,Above 7,Life Insurance,59,None,Rented,1,Skilled,3 or More,Yes,No
360,1,200 DM or Above,12,Previous Credits Paid,Other,1255,None,Above 7,Below 20%,"Male, Married/Widowed",None,Above 7,None,61,None,Rented,2 or 3,Unskilled Permanent Resident,3 or More,No,No
361,1,No Account,12,Paid Up,Used Car,1858,None,<1 Year,Below 20%,"Male, Single",None,<1 Year,Life Insurance,22,None,Free,1,Skilled,3 or More,No,No
362,1,200 DM or Above,6,Previous Credits Paid,Used Car,1221,Above 1000,"[1, 4)",Above 35%,Female,None,"[1, 4)",Car,27,None,Rented,2 or 3,Skilled,3 or More,No,No
363,1,200 DM or Above,9,Paid Up,Used Car,1388,None,"[1, 4)",Below 20%,"Male, Single",None,"[1, 4)",None,26,None,Free,1,Skilled,3 or More,No,No
364,1,200 DM or Above,12,Paid Up,Furniture,2279,Above 1000,"[1, 4)",Below 20%,"Male, Married/Widowed",None,Above 7,Real Estate,37,None,Owned,1,Skilled,3 or More,Yes,No
365,1,200 DM or Above,12,Delayed,Used Car,2759,None,Above 7,"(25%, 35%)","Male, Married/Widowed",None,Above 7,Car,34,None,Rented,2 or 3,Skilled,3 or More,No,No
366,1,Below 200 DM,24,Paid Up,Furniture,1258,"[100, 500)","[1, 4)","[20%, 25%)","Male, Single",None,"[4, 7)",Life Insurance,57,None,Rented,1,Unskilled Permanent Resident,3 or More,No,No
367,1,None,12,Delayed,Vacation,1410,None,"[1, 4)","(25%, 35%)","Male, Married/Widowed",None,"[1, 4)",None,31,None,Rented,1,Unskilled Permanent Resident,3 or More,Yes,No
368,1,No Account,15,Paid Up,Other,1403,None,"[1, 4)","(25%, 35%)","Male, Single",None,Above 7,Life Insurance,28,None,Free,1,Skilled,3 or More,No,No
369,1,No Account,24,Paid Up,Used Car,3021,None,"[1, 4)","(25%, 35%)","Male, Divorced",None,"[1, 4)",None,24,None,Free,1,Unskilled Permanent Resident,3 or More,No,No
370,1,No Account,24,Paid Up,Retraining,6568,None,"[1, 4)","(25%, 35%)",Female,None,"[1, 4)",Life Insurance,21,Dept. Store,Rented,1,Unskilled Permanent Resident,3 or More,No,No
371,1,200 DM or Above,24,Previous Credits Paid,Furniture,2578,"[500, 1000)",Above 7,"(25%, 35%)","Male, Married/Widowed",None,"[1, 4)",Life Insurance,34,None,Rented,1,Skilled,3 or More,No,No
372,1,None,24,Previous Credits Paid,New Car,7758,"[500, 1000)",Above 7,"(25%, 35%)","Male, Single",None,Above 7,Real Estate,29,None,Free,1,Skilled,3 or More,No,No
373,1,No Account,6,Paid Up,Radio/TV,343,None,<1 Year,Below 20%,"Male, Single",None,<1 Year,None,27,None,Rented,1,Skilled,3 or More,No,No
374,1,200 DM or Above,21,No Problem with Current Credits,Used Car,1591,Below 100 DM,"[4, 7)",Below 20%,"Male, Married/Widowed",None,"[4, 7)",None,34,None,Rented,2 or 3,Executive,3 or More,No,No
375,1,No Account,27,Paid Up,Furniture,3416,None,"[1, 4)","[20%, 25%)","Male, Married/Widowed",None,"[1, 4)",Life Insurance,27,None,Rented,1,Executive,3 or More,No,No
376,0,No Account,12,Delayed,Appliances,1108,None,"[4, 7)",Below 20%,"Male, Married/Widowed",None,"[4, 7)",None,28,None,Rented,2 or 3,Skilled,3 or More,No,No
377,1,None,27,No Problem with Current Credits,New Car,5965,None,Above 7,Above 35%,"Male, Married/Widowed",None,"[1, 4)",Life Insurance,30,None,Rented,2 or 3,Executive,3 or More,Yes,No
378,1,None,15,Paid Up,Appliances,1514,Below 100 DM,"[1, 4)",Below 20%,"Male, Married/Widowed",Guarantor,"[1, 4)",None,22,None,Rented,1,Skilled,3 or More,No,No
379,1,200 DM or Above,30,Previous Credits Paid,Furniture,6742,Above 1000,"[4, 7)","(25%, 35%)","Male, Married/Widowed",None,"[4, 7)",Car,36,None,Rented,2 or 3,Skilled,3 or More,No,No
380,1,No Account,18,Paid Up,Used Car,3650,None,<1 Year,Above 35%,"Male, Single",None,Above 7,Life Insurance,22,None,Free,1,Skilled,3 or More,No,No
381,1,No Account,21,Paid Up,Used Car,3599,None,"[4, 7)",Above 35%,"Male, Single",None,Above 7,Life Insurance,26,None,Free,1,Unskilled Permanent Resident,3 or More,No,No
382,1,200 DM or Above,60,Previous Credits Paid,Other,13756,Above 1000,Above 7,"(25%, 35%)","Male, Married/Widowed",None,Above 7,Real Estate,63,Other Banks,Owned,1,Executive,3 or More,Yes,No
383,1,None,9,Paid Up,Other,276,None,"[1, 4)",Below 20%,Female,None,Above 7,None,22,None,Free,1,Unskilled Permanent Resident,3 or More,No,No
384,1,200 DM or Above,42,Previous Credits Paid,Used Car,4041,"[100, 500)","[1, 4)",Below 20%,"Male, Married/Widowed",None,Above 7,None,36,None,Rented,2 or 3,Skilled,3 or More,Yes,No
385,1,None,9,Paid Up,Furniture,458,None,"[1, 4)",Below 20%,"Male, Married/Widowed",None,"[4, 7)",None,24,None,Rented,1,Skilled,3 or More,No,No
386,0,None,9,Paid Up,Used Car,918,None,"[1, 4)",Below 20%,"Male, Single",None,<1 Year,Car,30,None,Rented,1,Skilled,3 or More,No,No
387,1,200 DM or Above,24,Paid Up,Other,7393,None,"[1, 4)",Above 35%,"Male, Married/Widowed",None,Above 7,Car,43,None,Rented,1,Unskilled Permanent Resident,Less than 3,No,No
388,1,Below 200 DM,10,Paid Up,Radio/TV,1225,None,"[1, 4)","(25%, 35%)","Male, Married/Widowed",None,"[1, 4)",Life Insurance,37,None,Rented,1,Skilled,3 or More,Yes,No
389,1,No Account,24,Paid Up,New Car,2812,Above 1000,Above 7,"(25%, 35%)","Male, Single",None,Above 7,None,26,None,Free,1,Skilled,3 or More,No,No
390,1,200 DM or Above,15,Paid Up,New Car,3029,None,"[4, 7)","(25%, 35%)","Male, Married/Widowed",None,"[1, 4)",Life Insurance,33,None,Rented,1,Skilled,3 or More,No,No
391,1,Below 200 DM,12,Previous Credits Paid,Other,1480,"[100, 500)",Unemployed,"(25%, 35%)","Male, Married/Widowed",None,Above 7,Real Estate,66,Other Banks,Owned,4 or 5,"Unemployed, unskilled",3 or More,No,No
392,1,Below 200 DM,6,Previous Credits Paid,Repair,1047,None,"[1, 4)","(25%, 35%)","Male, Single",None,Above 7,Car,50,None,Rented,1,Unskilled Permanent Resident,3 or More,No,No
393,1,200 DM or Above,15,Previous Credits Paid,Furniture,1471,None,"[1, 4)",Below 20%,"Male, Married/Widowed",None,Above 7,Real Estate,35,None,Owned,2 or 3,Skilled,3 or More,Yes,No
394,1,200 DM or Above,24,Paid Up,Used Car,5511,Below 100 DM,"[1, 4)",Below 20%,"Male, Married/Widowed",None,<1 Year,Life Insurance,25,Dept. Store,Rented,1,Skilled,3 or More,No,No
395,1,None,9,Paid Up,Furniture,1206,None,Above 7,Below 20%,"Male, Single",None,Above 7,None,25,None,Rented,1,Skilled,3 or More,No,No
396,1,None,24,No Problem with Current Credits,Furniture,6403,None,<1 Year,Above 35%,"Male, Married/Widowed",None,"[1, 4)",Life Insurance,33,None,Rented,1,Skilled,3 or More,No,No
397,1,200 DM or Above,12,Paid Up,Furniture,707,None,"[1, 4)",Below 20%,"Male, Married/Widowed",None,"[1, 4)",None,30,Other Banks,Rented,2 or 3,Skilled,3 or More,No,No
398,1,200 DM or Above,12,No Problem with Current Credits,New Car,1503,None,"[1, 4)",Below 20%,Female,None,Above 7,None,41,None,Free,1,Skilled,3 or More,No,No
399,1,None,12,Paid Up,Other,6078,None,"[4, 7)","(25%, 35%)","Male, Married/Widowed",None,"[1, 4)",Life Insurance,32,None,Rented,1,Skilled,3 or More,No,No
400,1,None,27,Paid Up,Retraining,2528,None,<1 Year,Below 20%,"Male, Single",None,<1 Year,Car,32,None,Rented,1,Skilled,Less than 3,Yes,No
401,1,None,12,Paid Up,Retraining,1037,Below 100 DM,"[4, 7)","[20%, 25%)","Male, Married/Widowed",None,Above 7,None,39,None,Rented,1,Unskilled Permanent Resident,3 or More,No,No
402,1,No Account,6,Paid Up,New Car,1352,"[100, 500)",Unemployed,Above 35%,"Male, Single",None,"[1, 4)",Car,23,None,Free,1,"Unemployed, unskilled",3 or More,Yes,No
403,1,200 DM or Above,24,Paid Up,Furniture,3181,None,<1 Year,Below 20%,"Male, Single",None,Above 7,Car,26,None,Rented,1,Skilled,3 or More,Yes,No
404,1,200 DM or Above,18,Paid Up,Furniture,4594,None,<1 Year,"[20%, 25%)","Male, Married/Widowed",None,"[1, 4)",Life Insurance,32,None,Rented,1,Skilled,3 or More,Yes,No
405,1,None,48,Paid Up,Business,5381,Above 1000,Unemployed,"[20%, 25%)","Male, Married/Widowed",None,Above 7,Real Estate,40,Other Banks,Owned,1,"Unemployed, unskilled",3 or More,Yes,No
406,1,200 DM or Above,15,Paid Up,New Car,4657,None,"[1, 4)","[20%, 25%)","Male, Married/Widowed",None,"[1, 4)",Life Insurance,30,None,Rented,1,Skilled,3 or More,Yes,No
407,1,None,9,Paid Up,Retraining,1391,None,"[1, 4)","(25%, 35%)",Female,None,<1 Year,None,27,Other Banks,Rented,1,Skilled,3 or More,Yes,No
408,1,None,18,Paid Up,Retraining,1913,"[500, 1000)",<1 Year,"[20%, 25%)",Female,None,"[4, 7)",None,36,Other Banks,Rented,1,Skilled,3 or More,Yes,No
409,1,200 DM or Above,42,Paid Up,Furniture,7166,Above 1000,"[4, 7)","(25%, 35%)",Female,None,Above 7,Car,29,None,Free,1,Skilled,3 or More,Yes,No
410,1,200 DM or Above,13,Paid Up,Furniture,1409,Below 100 DM,Unemployed,"(25%, 35%)","Male, Single",None,Above 7,None,64,None,Rented,1,Skilled,3 or More,No,No
411,1,200 DM or Above,24,No Problem with Current Credits,Retraining,2978,Above 1000,"[1, 4)",Below 20%,"Male, Married/Widowed",None,Above 7,None,32,None,Rented,2 or 3,Skilled,Less than 3,Yes,No
412,1,200 DM or Above,12,Previous Credits Paid,Furniture,976,Above 1000,Above 7,Below 20%,"Male, Married/Widowed",None,Above 7,Life Insurance,35,None,Rented,2 or 3,Skilled,3 or More,No,No
413,1,200 DM or Above,24,No Problem with Current Credits,Retraining,2375,"[100, 500)","[1, 4)",Below 20%,"Male, Married/Widowed",None,"[1, 4)",Life Insurance,44,None,Rented,2 or 3,Skilled,Less than 3,Yes,No
414,1,200 DM or Above,12,Previous Credits Paid,Furniture,522,"[100, 500)",Above 7,Below 20%,"Male, Married/Widowed",None,Above 7,Car,42,None,Rented,2 or 3,Skilled,Less than 3,Yes,No
415,1,200 DM or Above,28,Previous Credits Paid,Furniture,2743,None,Above 7,Below 20%,"Male, Married/Widowed",None,"[1, 4)",Life Insurance,29,None,Rented,2 or 3,Skilled,3 or More,No,No
416,1,200 DM or Above,11,Previous Credits Paid,Furniture,1154,Below 100 DM,Unemployed,Below 20%,"Male, Single",None,Above 7,None,57,None,Rented,4 or 5,Unskilled Permanent Resident,3 or More,No,No
417,1,200 DM or Above,24,Previous Credits Paid,New Car,5804,"[500, 1000)","[1, 4)",Below 20%,"Male, Married/Widowed",None,"[1, 4)",None,27,None,Rented,2 or 3,Skilled,3 or More,No,No
418,1,200 DM or Above,18,Previous Credits Paid,Furniture,1169,Above 1000,"[1, 4)",Below 20%,"Male, Married/Widowed",None,"[4, 7)",Car,29,None,Rented,2 or 3,Skilled,3 or More,Yes,No
419,1,No Account,15,Previous Credits Paid,Used Car,1478,None,Above 7,Below 20%,"Male, Married/Widowed",None,Above 7,Life Insurance,44,None,Rented,2 or 3,Skilled,Less than 3,Yes,No
420,1,200 DM or Above,12,Paid Up,Furniture,776,None,"[1, 4)",Below 20%,Female,None,"[1, 4)",None,28,None,Rented,1,Skilled,3 or More,No,No
421,1,None,11,Previous Credits Paid,Other,1322,"[500, 1000)","[1, 4)",Below 20%,"Male, Single",None,Above 7,Life Insurance,40,None,Rented,2 or 3,Skilled,3 or More,No,No
